Shutter angle (deg),LED PWM,Example device/class,Base rate OK?,Ideal crank FPS,Maybe crank FPS
180,400 Hz,old WS2812/WS2812B,❌,-,-
180,580 Hz*,APA102 global brightness,❌,-,-
180,1 kHz,some SK6812 variants,✅,-,30
180,1.2 kHz,SK6812,✅,"30, 40",-
180,2 kHz,"WS2813/14, newer WS2812",✅,"40, 50","30, 48, 60"
180,2.5 kHz,WS2801 class,✅,50,"30, 40, 48, 60, 72"
180,4.7 kHz,SK9822,✅,50,"30, 40, 48, 60, 72, 96, 100, 120, 144"
180,8 kHz,GS8208 / CS8812 class,✅,"40, 50, 100, 200","30, 48, 60, 72, 96, 120, 144, 240"
180,10 kHz,WS2816B class,✅,"40, 50, 100, 200","30, 48, 60, 72, 96, 120, 144, 240"
180,19.2 kHz,APA102 RGB PWM,✅,"30, 40, 48, 50, 60, 96, 100, 120, 200, 240","72, 144"
180,20 kHz,generic high-frequency PWM,✅,"40, 50, 100, 200","30, 48, 60, 72, 96, 120, 144, 240"
180,26 kHz,HD107S class,✅,"40, 50, 100, 200","30, 48, 60, 72, 96, 120, 144, 240"
180,27 kHz,HD108 class,✅,"30, 50, 60, 100","40, 48, 72, 96, 120, 144, 200, 240"
