Shutter angle (deg),LED PWM,Example device/class,Base rate OK?,Ideal crank FPS,Maybe crank FPS
172.8,400 Hz,old WS2812/WS2812B,❌,-,-
172.8,580 Hz*,APA102 global brightness,❌,-,-
172.8,1 kHz,some SK6812 variants,✅,30,-
172.8,1.2 kHz,SK6812,✅,-,30
172.8,2 kHz,"WS2813/14, newer WS2812",✅,"30, 40, 48, 60",50
172.8,2.5 kHz,WS2801 class,✅,"30, 40, 48, 50, 60",72
172.8,4.7 kHz,SK9822,✅,48,"30, 40, 50, 60, 72, 96, 100, 120, 144"
172.8,8 kHz,GS8208 / CS8812 class,✅,"30, 40, 48, 60, 96, 120, 240","50, 72, 100, 144, 200"
172.8,10 kHz,WS2816B class,✅,"30, 40, 48, 50, 60, 96, 100, 120, 200, 240","72, 144"
172.8,19.2 kHz,APA102 RGB PWM,✅,"48, 72, 96, 144","30, 40, 50, 60, 100, 120, 200, 240"
172.8,20 kHz,generic high-frequency PWM,✅,"30, 40, 48, 50, 60, 96, 100, 120, 200, 240","72, 144"
172.8,26 kHz,HD107S class,✅,"30, 40, 48, 60, 96, 120, 240","50, 72, 100, 144, 200"
172.8,27 kHz,HD108 class,✅,"30, 40, 48, 60, 72, 96, 120, 144, 240","50, 100, 200"
